case_order,case_id,case_group,admission_rule_id,candidate_representation,batch_context_representation,evaluation_context_representation,download_result_context_representation,stage_authorization_context_representation,expected_outcome_or_error,observed_outcome_or_error,expected_result_json,observed_result_json,expected_call_order,observed_call_order,expected_stage_context_identity_preserved,observed_stage_context_identity_preserved,formal_call_count,oracle_call_count,candidate_key_access_count,adapter_stage_target_access_count,formal_stage_target_access_count,oracle_stage_target_access_count,stage_target_access_count,case_passed
58,ORACLE_NEGATIVE_rule_id,admit014_oracle_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
59,ORACLE_NEGATIVE_value_mismatch,admit014_oracle_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
60,ORACLE_NEGATIVE_exception,admit014_oracle_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
61,ORACLE_NEGATIVE_stateful_mapping,admit014_oracle_negative,ADMIT_014,{},None,None,None,alternating_mapping,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
62,DISPATCH_bool,public_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,"{""adapter_ready"":false,""admission_rule_id"":"""",""callable_discovered"":false,""code"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID"",""known_rule"":false,""reason"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":"""",""callable_discovered"":false,""code"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID"",""known_rule"":false,""reason"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID""}",,,n/a,n/a,0,0,0,0,0,0,0,true
63,DISPATCH_str_subclass,public_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,"{""adapter_ready"":false,""admission_rule_id"":"""",""callable_discovered"":false,""code"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID"",""known_rule"":false,""reason"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":"""",""callable_discovered"":false,""code"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID"",""known_rule"":false,""reason"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID""}",,,n/a,n/a,0,0,0,0,0,0,0,true
64,DISPATCH_unknown,public_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_999"",""callable_discovered"":false,""code"":""UNIFIED_ADMISSION_RULE_ID_UNKNOWN"",""known_rule"":false,""reason"":""UNIFIED_ADMISSION_RULE_ID_UNKNOWN""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_999"",""callable_discovered"":false,""code"":""UNIFIED_ADMISSION_RULE_ID_UNKNOWN"",""known_rule"":false,""reason"":""UNIFIED_ADMISSION_RULE_ID_UNKNOWN""}",,,n/a,n/a,0,0,0,0,0,0,0,true
65,DISPATCH_admit015,public_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_015"",""callable_discovered"":false,""code"":""UNIFIED_ADMISSION_RULE_NOT_REGISTERED"",""known_rule"":true,""reason"":""UNIFIED_ADMISSION_RULE_NOT_REGISTERED""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_015"",""callable_discovered"":false,""code"":""UNIFIED_ADMISSION_RULE_NOT_REGISTERED"",""known_rule"":true,""reason"":""UNIFIED_ADMISSION_RULE_NOT_REGISTERED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
66,DISPATCH_admit014_registered,public_dispatch,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
67,PREDECESSOR_ADMIT_001,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_001"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_001"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
68,PREDECESSOR_ADMIT_002,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,invalid,invalid,"{""adapter_id"":""covapie_admit_002_unified_adapter_v1"",""admission_rule_id"":""ADMIT_002"",""admission_rule_name"":""valid_pdb_id_format"",""blocks_candidate"":true,""consumed_candidate_fields"":[""pdb_id""],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""invalid"",""passed"":false,""reason"":""ADMIT_002_CANDIDATE_FIELD_MISSING:pdb_id"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_002_unified_adapter_v1"",""admission_rule_id"":""ADMIT_002"",""admission_rule_name"":""valid_pdb_id_format"",""blocks_candidate"":true,""consumed_candidate_fields"":[""pdb_id""],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""invalid"",""passed"":false,""reason"":""ADMIT_002_CANDIDATE_FIELD_MISSING:pdb_id"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",,,n/a,n/a,0,0,0,0,0,0,0,true
69,PREDECESSOR_ADMIT_003,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,invalid,invalid,"{""adapter_id"":""covapie_admit_003_unified_adapter_v1"",""admission_rule_id"":""ADMIT_003"",""admission_rule_name"":""ligand_or_het_identity_present"",""blocks_candidate"":true,""consumed_candidate_fields"":[""ligand_comp_id""],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""invalid"",""passed"":false,""reason"":""ADMIT_003_CANDIDATE_FIELD_MISSING:ligand_comp_id"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_003_unified_adapter_v1"",""admission_rule_id"":""ADMIT_003"",""admission_rule_name"":""ligand_or_het_identity_present"",""blocks_candidate"":true,""consumed_candidate_fields"":[""ligand_comp_id""],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""invalid"",""passed"":false,""reason"":""ADMIT_003_CANDIDATE_FIELD_MISSING:ligand_comp_id"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",,,n/a,n/a,0,0,0,0,0,0,0,true
70,PREDECESSOR_ADMIT_004,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_004"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_004_EVALUATION_CONTEXT_MAPPING_REQUIRED""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_004"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_004_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
71,PREDECESSOR_ADMIT_005,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,invalid,invalid,"{""adapter_id"":""covapie_admit_005_unified_adapter_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""blocks_candidate"":true,""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""invalid"",""passed"":false,""reason"":""ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_005_unified_adapter_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""blocks_candidate"":true,""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""invalid"",""passed"":false,""reason"":""ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",,,n/a,n/a,0,0,0,0,0,0,0,true
72,PREDECESSOR_ADMIT_006,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_006"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_006_EVALUATION_CONTEXT_MAPPING_REQUIRED""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_006"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_006_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
73,PREDECESSOR_ADMIT_007,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_007"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_007_EVALUATION_CONTEXT_MAPPING_REQUIRED""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_007"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_007_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
74,PREDECESSOR_ADMIT_008,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_008"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_008_EVALUATION_CONTEXT_MAPPING_REQUIRED""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_008"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_008_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
75,PREDECESSOR_ADMIT_009,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_009"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_009"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
76,PREDECESSOR_ADMIT_010,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_010"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_010_EVALUATION_CONTEXT_MAPPING_REQUIRED""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_010"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_010_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
77,PREDECESSOR_ADMIT_011,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_011"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_011_EVALUATION_CONTEXT_MAPPING_REQUIRED""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_011"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_011_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
78,PREDECESSOR_ADMIT_012,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_012"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_012_EVALUATION_CONTEXT_MAPPING_REQUIRED""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_012"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_012_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
79,PREDECESSOR_ADMIT_013,predecessor_representative_dispatch,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_013"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_013_EVALUATION_CONTEXT_MAPPING_REQUIRED""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_013"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_013_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",,,n/a,n/a,0,0,0,0,0,0,0,true
