scaleup_rank,tranche,selection_priority_pass,canonical_event_id,pdb_id,protein_label_asym_id,protein_auth_chain,protein_residue_name,protein_residue_number,protein_reactive_atom,ligand_component_id,ligand_instance,ligand_reactive_atom,canonical_source_dataset_count,source_record_provenance_count,source_datasets_json,source_provenance_identities_json,historical_pilot_processed,historical_bulk_structure_acquisition_status,historical_terminal_route,historical_terminal_reasons_json,current_123_two_rule_routing_population_overlap,structure_execution_status,task_domain_rule_evaluation_status
218,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AIM:A:CYS:25-:SG:B:ZRA:CM,2AIM,A,,CYS,25,SG,ZRA,B,CM,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2aim/2aim.pdb#LINK00425"",""SOURCE_RCSB_PDB_DIRECT:2AIM:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
219,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2ALV:A:CYS:145-:SG:B:CY6:C33,2ALV,A,,CYS,145,SG,CY6,B,C33,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2alv/2alv.pdb#LINK00431"",""SOURCE_RCSB_PDB_DIRECT:2ALV:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
220,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AMD:A:CYS:145-:SG:C:9IN:C23,2AMD,A,,CYS,145,SG,9IN,C,C23,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002799"",""SOURCE_COVPDB:CovPDB_complexes/2amd/2amd.pdb#LINK00424"",""SOURCE_RCSB_PDB_DIRECT:2AMD:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
221,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AMD:B:CYS:145-:SG:D:9IN:C23,2AMD,B,,CYS,145,SG,9IN,D,C23,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002800"",""SOURCE_COVPDB:CovPDB_complexes/2amd/2amd.pdb#LINK00425"",""SOURCE_RCSB_PDB_DIRECT:2AMD:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
222,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AMP:A:CYS:144-:SG:C:I12:C21,2AMP,A,,CYS,144,SG,I12,C,C21,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002794"",""SOURCE_RCSB_PDB_DIRECT:2AMP:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
223,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AMP:B:CYS:144-:SG:D:I12:C21,2AMP,B,,CYS,144,SG,I12,D,C21,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002795"",""SOURCE_RCSB_PDB_DIRECT:2AMP:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
224,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AUX:A:CYS:25-:SG:B:CT1:C6,2AUX,A,,CYS,25,SG,CT1,B,C6,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002951"",""SOURCE_COVPDB:CovPDB_complexes/2aux/2aux.pdb#LINK00391"",""SOURCE_RCSB_PDB_DIRECT:2AUX:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
225,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AUZ:A:CYS:25-:SG:E:CT2:C6,2AUZ,A,,CYS,25,SG,CT2,E,C6,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002968"",""SOURCE_COVPDB:CovPDB_complexes/2auz/2auz.pdb#LINK00393"",""SOURCE_RCSB_PDB_DIRECT:2AUZ:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
226,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AWZ:A:CYS:366-:SG:G:5H:C1,2AWZ,A,,CYS,366,SG,5H,G,C1,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002671"",""SOURCE_COVPDB:CovPDB_complexes/2awz/2awz.pdb#LINK00613"",""SOURCE_RCSB_PDB_DIRECT:2AWZ:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
227,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AWZ:B:CYS:366-:SG:J:5H:C1,2AWZ,B,,CYS,366,SG,5H,J,C1,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002672"",""SOURCE_COVPDB:CovPDB_complexes/2awz/2awz.pdb#LINK00614"",""SOURCE_RCSB_PDB_DIRECT:2AWZ:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
228,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AX0:A:CYS:366-:SG:F:5X:C1,2AX0,A,,CYS,366,SG,5X,F,C1,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000465"",""SOURCE_COVPDB:CovPDB_complexes/2ax0/2ax0.pdb#LINK00612"",""SOURCE_RCSB_PDB_DIRECT:2AX0:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
229,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AX0:B:CYS:366-:SG:K:5X:C1,2AX0,B,,CYS,366,SG,5X,K,C1,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000466"",""SOURCE_COVPDB:CovPDB_complexes/2ax0/2ax0.pdb#LINK00613"",""SOURCE_RCSB_PDB_DIRECT:2AX0:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
230,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AX1:A:CYS:366-:SG:G:5EE:C1,2AX1,A,,CYS,366,SG,5EE,G,C1,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000462"",""SOURCE_COVPDB:CovPDB_complexes/2ax1/2ax1.pdb#LINK00613"",""SOURCE_RCSB_PDB_DIRECT:2AX1:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
231,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2AX1:B:CYS:366-:SG:L:5EE:C1,2AX1,B,,CYS,366,SG,5EE,L,C1,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000463"",""SOURCE_COVPDB:CovPDB_complexes/2ax1/2ax1.pdb#LINK00614"",""SOURCE_RCSB_PDB_DIRECT:2AX1:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
232,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2BBQ:A:CYS:146-:SG:C:UMP:C6,2BBQ,A,,CYS,146,SG,UMP,C,C6,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001563"",""SOURCE_RCSB_PDB_DIRECT:2BBQ:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
233,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2BBQ:B:CYS:146-:SG:E:UMP:C6,2BBQ,B,,CYS,146,SG,UMP,E,C6,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001564"",""SOURCE_RCSB_PDB_DIRECT:2BBQ:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
234,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2BDL:A:CYS:25-:SG:B:4PR:C19,2BDL,A,,CYS,25,SG,4PR,B,C19,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004219"",""SOURCE_COVPDB:CovPDB_complexes/2bdl/2bdl.pdb#LINK00348"",""SOURCE_RCSB_PDB_DIRECT:2BDL:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
235,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2BDZ:A:CYS:25-:SG:E:E64:C2,2BDZ,A,,CYS,25,SG,E64,E,C2,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004215"",""SOURCE_RCSB_PDB_DIRECT:2BDZ:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
236,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2BDZ:B:CYS:25-:SG:F:E64:C2,2BDZ,B,,CYS,25,SG,E64,F,C2,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004216"",""SOURCE_RCSB_PDB_DIRECT:2BDZ:covale2""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
237,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2BDZ:C:CYS:25-:SG:G:E64:C2,2BDZ,C,,CYS,25,SG,E64,G,C2,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004217"",""SOURCE_RCSB_PDB_DIRECT:2BDZ:covale3""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
238,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2BDZ:D:CYS:25-:SG:H:E64:C2,2BDZ,D,,CYS,25,SG,E64,H,C2,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004218"",""SOURCE_RCSB_PDB_DIRECT:2BDZ:covale4""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
239,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2C6Q:D:CYS:186-:SG:O:IMP:C2,2C6Q,D,,CYS,186,SG,IMP,O,C2,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002274"",""SOURCE_RCSB_PDB_DIRECT:2C6Q:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
240,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2DC6:A:CYS:29-:SG:C:73V:C2,2DC6,A,,CYS,29,SG,73V,C,C2,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2dc6/2dc6.pdb#LINK00393"",""SOURCE_RCSB_PDB_DIRECT:2DC6:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
241,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2DC7:A:CYS:29-:SG:C:042:C3,2DC7,A,,CYS,29,SG,042,C,C3,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2dc7/2dc7.pdb#LINK00393"",""SOURCE_RCSB_PDB_DIRECT:2DC7:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
242,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2DC8:A:CYS:29-:SG:C:59A:C3,2DC8,A,,CYS,29,SG,59A,C,C3,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2dc8/2dc8.pdb#LINK00395"",""SOURCE_RCSB_PDB_DIRECT:2DC8:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
243,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2DC9:A:CYS:29-:SG:C:74M:C3,2DC9,A,,CYS,29,SG,74M,C,C3,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2dc9/2dc9.pdb#LINK00404"",""SOURCE_RCSB_PDB_DIRECT:2DC9:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
244,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2DCA:A:CYS:29-:SG:C:75V:C3,2DCA,A,,CYS,29,SG,75V,C,C3,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2dca/2dca.pdb#LINK00396"",""SOURCE_RCSB_PDB_DIRECT:2DCA:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
245,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2DCB:A:CYS:29-:SG:C:76V:C3,2DCB,A,,CYS,29,SG,76V,C,C3,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2dcb/2dcb.pdb#LINK00395"",""SOURCE_RCSB_PDB_DIRECT:2DCB:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
246,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2DCC:A:CYS:29-:SG:C:77B:C2,2DCC,A,,CYS,29,SG,77B,C,C2,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2dcc/2dcc.pdb#LINK00395"",""SOURCE_RCSB_PDB_DIRECT:2DCC:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
247,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2DCD:A:CYS:29-:SG:C:78A:C3,2DCD,A,,CYS,29,SG,78A,C,C3,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2dcd/2dcd.pdb#LINK00395"",""SOURCE_RCSB_PDB_DIRECT:2DCD:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
248,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2DW5:A:CYS:645-:SG:J:BFB:CAP,2DW5,A,,CYS,645,SG,BFB,J,CAP,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR002604"",""SOURCE_RCSB_PDB_DIRECT:2DW5:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
249,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2EFT:A:CYS:112-:SG:E:MEE:S,2EFT,A,,CYS,112,SG,MEE,E,S,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003862"",""SOURCE_RCSB_PDB_DIRECT:2EFT:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
250,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2EFT:B:CYS:103-:SG:G:MEE:S,2EFT,B,,CYS,103,SG,MEE,G,S,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003863"",""SOURCE_RCSB_PDB_DIRECT:2EFT:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
251,INCREMENTAL_251_500,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2F7D:A:CYS:25-:SG:B:NOQ:C20,2F7D,A,,CYS,25,SG,NOQ,B,C20,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR004592"",""SOURCE_COVPDB:CovPDB_complexes/2f7d/2f7d.pdb#LINK00342"",""SOURCE_RCSB_PDB_DIRECT:2F7D:covale1""]",false,,,[],NOT_APPLICABLE_NOT_YET_PROCESSED,NOT_YET_EXECUTED,PENDING_STRUCTURE_PROCESSING_NOT_YET_RULE_EVALUABLE
252,INCREMENTAL_251_500,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:2FQ9:A:CYS:25-:SG:C:CRJ:C32,2FQ9,A,,CYS,25,SG,CRJ,C,C32,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/2fq9/2fq9.pdb#LINK00460"",""SOURCE_RCSB_PDB_DIRECT:2FQ9:covale1""]",false,,,[],NOT_APPLICABLE_NOT_YET_PROCESSED,NOT_YET_EXECUTED,PENDING_STRUCTURE_PROCESSING_NOT_YET_RULE_EVALUABLE
